filmID,personID
1,2
1,22
1,23
2,4
2,20
2,21
4,8
4,9
4,10
4,24
4,25
5,12
5,13
6,14
7,60
8,64
9,19
10,28
11,19
12,18
13,9
14,62
15,24
16,65
16,28
17,28
18,29
19,29
20,30
21,31
22,31
23,66
24,66
25,33
26,33
27,63
28,20
29,62
30,65
31,36
32,36
33,69
33,72
34,69
35,38
36,38
37,59
38,59
39,62
40,62
41,62
42,67
43,60
44,61
45,61
46,64
47,64
48,46
49,46
49,67
50,47
51,47
52,48
53,48
54,66
55,66
56,72
57,72
58,52
59,64
60,12
61,54
62,55
63,56
64,75
65,58
66,12
67,12
68,78
69,79
70,80
71,81
72,81
73,82
74,82
75,83
